SRR3405783_2	SRR3405784_2	SRR3405785_2	SRR3405786_2	SRR3405787_2	SRR3405788_2	SRR3405789_2	SRR3405790_2	SRR3405791_2	SRR3405792_2	SRR3405793_2	SRR3405794_2	SRR3405795_2	SRR3405796_2	SRR3405797_2	SRR3405798_2	SRR3405799_2	SRR3405800_2	SRR3405801_2	SRR3405802_2	SRR3405803_2	SRR3405804_2	SRR3405805_2	SRR3405806_2	SRR3405807_2	SRR3405808_2	SRR3405809_2	SRR3405810_2	SRR3405811_2	SRR3405812_2	SRR3405813_2	SRR3405814_2	SRR3405815_2	SRR3405816_2	SRR3405817_2	SRR3405818_2	SRR3405819_2	SRR3405820_2	SRR3405821_2	SRR3405822_2	SRR3405823_2	SRR3405824_2	SRR3405825_2	SRR3405826_2	SRR3405827_2	SRR3405828_2	SRR3405829_2	SRR3405830_2	SRR3405831_2	SRR3405832_2
YGR221C	354.140372218383	379.392717961205	457.303332240996	527.265580304464	894.167480389063	1318.95587134262	1097.61579206086	791.167198160561	580.835010488181	373.421851275515	293.033145682855	271.315462516622	227.119723017139	264.765088831947	270.655481106022	404.027274598959	541.803082087244	770.039708708302	821.621064313682	813.102670189981	833.899171228689	755.239313381827	703.557987111817	587.841823830665	498.688234912801	447.132272540362	438.530277701639	403.203337795328	414.305966318298	475.089846822542	550.065600229085	541.90264511249	653.329813972104	659.544879934226	589.676581151345	615.846688252482	557.71681795586	566.003262693285	514.850064026361	487.114247777216	488.924416207585	448.888522667925	532.719560470177	505.591857236636	590.319851621031	599.900306911398	576.056176963473	626.74417626956	635.214343082505	635.759885192908
YNL037C	3608.91543193784	2196.04690031559	4137.31941787133	6471.657732657	7646.55998892908	7911.72155496972	7985.01606568389	6995.75200422027	6133.01285959572	4617.8952813764	3521.45004380948	3094.48804155557	2817.61497383187	2849.62583750747	2893.21376354713	2936.03278872101	2910.5193344841	3275.22317600178	4147.86117951907	5280.26914737831	6243.03259177228	6554.81047539541	6508.78356010717	5780.15473816928	5281.99978283244	4974.97452677633	3973.48500354023	3769.42067767869	3381.45579610477	3215.81497289613	3176.35920132285	3296.89021851655	3620.33137516872	3863.45066226051	4310.39682720394	4687.53194868757	4497.91751393932	4985.51646878456	4539.12072841601	4203.41283475171	4074.70004357617	3878.02661851259	3583.22995951318	3270.42291905431	3469.75924568414	3452.44951822498	3529.93414432665	3733.21531082303	3991.79351728708	4130.80910020213
YMR032W	17.766239408949	25.8467058465055	14.7200643425213	37.9631217819214	16.4772877221572	16.1093846881542	9.25477059073237	33.0541551792148	110.296387902809	459.935660790882	930.632852323825	1246.55935871039	1562.27960100492	1723.58933322615	1320.09359175466	1155.88254123988	853.674300634377	606.55721325274	450.566390107503	281.647009252554	259.459025107006	243.62558496188	322.124896578468	464.360257286354	613.121525532888	832.721058129944	927.146500826054	1002.70303741207	889.899797476581	688.938074711034	689.379600287105	571.271494760195	501.049932519959	496.300485754204	393.117720767564	404.077845637781	369.315834709026	515.653279202164	563.803020933785	564.651159876585	651.239404584192	620.114041623732	649.936923507443	623.032485492391	703.341325421817	656.635064619298	621.486474831255	548.779622941341	514.876037221138	523.279290120317
YOR313C	4.7376638423864	3.69238654950078	4.90668811417378	10.5453116060893	5.49242924071906	12.0820385161156	16.6585870633183	30.9216290386203	43.584862961594	111.232040805472	167.736214425358	281.571373470859	287.938393615871	333.834242440281	236.434673150088	183.786842956669	151.336972002764	113.323093440788	60.370006517672	63.6767151353599	40.5738393171449	48.7251169923759	73.2630631207346	96.5243231437927	113.228729666191	114.295047194306	164.727109390463	168.001390748053	175.691879207957	157.207345907216	156.391200065132	132.633514538022	110.034494984775	121.026016374844	117.141139016597	112.180251763463	96.0720245695776	120.666339745961	128.290507757388	144.12743660824	163.304713915489	174.927692338635	156.289817383022	179.1467210681	172.140398558121	140.441777276932	132.656469773923	126.408547629247	98.8493226718378	113.29567184848
YGL116W	326.898805124661	565.858238710995	695.768374589842	623.227915919877	342.727584620869	210.428837489014	140.672512979132	111.957622381211	153.881250864403	301.032745354493	661.850725594034	1041.44113962566	1302.84995923221	1469.28926766819	1351.20341716914	1040.44617706875	887.955051198539	693.871727871052	602.227625993362	428.593274949538	345.945366809341	305.173101162775	317.473273523183	466.969022776727	587.825745501079	741.033822468577	973.893383220645	954.071055879735	943.015947004568	853.081038820038	865.544400360472	698.220715818017	652.347363124025	602.315523353873	520.186074955059	493.364168469925	497.82776367872	589.442048111565	599.251713866748	675.939433713328	748.232507394604	713.593919540145	739.517672495273	705.639029096014	741.594747323622	664.07568858099	629.663928447456	590.411180543788	533.786342427924	515.943599137322
YEL032W	1182.04712867541	1737.26787154012	1641.77784300255	2490.80260135829	2317.80513958344	1711.62212311638	1065.2240949933	689.872206482322	550.59245251483	401.671258464206	444.602014139504	606.963457382547	909.429183796662	1274.63983477198	1743.18721739166	1883.43541542372	2004.16973420235	1870.75991958808	1759.56482411263	1514.77108889308	1419.01664348646	991.171458818594	919.858459182557	853.935903848689	825.124253418523	886.728607903077	970.55432019246	1179.54660662054	1311.56030757568	1412.55424043101	1385.9496005772	1389.80975590913	1345.95766186734	1251.54035538017	1178.3604407856	1031.37149835592	959.472557065003	984.428987567768	891.281422314487	958.721113134558	979.828283492934	1076.40691105731	1121.66533573059	1078.86136465456	1209.32976966841	1269.55646346366	1283.86021774351	1192.93335966283	1177.59627878624	1201.42316765942
YDL018C	474.950800199236	634.167389876759	697.731049835511	1001.80460257848	1273.14509799868	1761.96395026686	1690.8465869268	1210.20858478738	884.150077220906	592.354756987873	423.382372555573	307.677328627098	314.546562002816	336.973749422478	425.167613997966	686.542586912517	873.741081452423	1026.40998567271	1033.65230671721	1018.82744216576	940.672432589597	836.020428395503	832.640526895968	691.322854948786	608.303281717305	567.707267382707	477.486013030465	533.183361163559	680.703885489433	834.586056948601	826.896000344376	871.591666964145	929.39850228212	969.146317172198	980.808858884729	926.059425271855	919.546520880243	864.630750985447	773.119112537945	767.159330300821	758.129762783421	707.115116120196	746.188579334792	846.965886827515	745.072331132877	828.69949373342	862.267053530499	884.859833404728	924.026277149788	860.721075338091
YAR007C	823.169092614636	963.712889419704	1440.60363032142	2290.44168084259	3316.32877554617	4182.39899966203	3701.90823629295	2666.72393881343	1832.34321838538	1280.05126323758	844.743826865057	628.407634832314	486.549364789855	554.64623352147	810.929449137583	1298.65909692523	1847.81606699508	2175.43184293709	2221.910727687	2109.90346496587	2158.95534471755	1850.27220578943	1669.93267684722	1473.08291356383	1252.74339205148	1077.63901640346	1039.56162277495	1092.00903986235	1308.29162145088	1373.25240395421	1635.81600068127	1769.7100368359	1863.70925880463	1921.40528322232	1860.3601230263	1753.67495613904	1600.7845132827	1511.36760789725	1338.61016646854	1333.63488810916	1445.98901230624	1399.42153870908	1409.46731652127	1427.20221117586	1568.39029797399	1569.97165591696	1610.95836239154	1702.35223723459	1717.39953650723	1621.18770724192
YKL101W	761.579462663613	1351.41347711729	1087.32208610091	1023.94975695127	2037.69124830677	3728.31571876468	3634.3484109806	2796.80803338969	2304.66081496918	1993.34879475204	1593.4940370409	1180.3621152785	898.975974787505	773.365219947861	714.488990352679	788.308855326541	1542.63377538729	1928.35034412357	2136.50925505224	2198.07122438406	2352.2149477808	2328.54769626723	2304.87922389359	2167.88412249978	1736.97689551753	1433.08405328245	1351.20750540556	1157.44116046948	1250.27244273569	1273.84187639523	1580.09040065806	1679.70872339938	1812.62181470456	1987.07831536371	1988.42119873088	1828.08022516583	1726.80106499085	1670.23048684337	1503.19338365729	1428.50358056015	1365.82124365682	1254.11123343307	1291.29696679265	1342.60514844926	1400.59687917744	1478.82401238624	1563.71085260905	1523.71500824955	1535.17295906002	1544.57049030841
YML085C	5914.97330721942	4451.17198542319	3889.04099929414	3716.16780998587	4799.28467054032	6434.69234637458	8617.11689703091	9914.11402762385	11446.8081929133	11462.1969668115	11354.5291656491	9950.09833669208	7524.40990313685	5996.45833599627	4608.40213806575	4597.70887297387	4376.23045006888	4687.11745493618	5102.00177033496	5815.39846495816	7020.34193447968	7662.66576701154	8122.89676029097	7756.72939137505	8442.76772585464	7970.50955489083	7414.94596458964	6598.03356716829	5727.55526217939	5147.38464209435	5150.12400214486	5027.75758323774	5423.1286813925	5812.06334451284	6106.2300516194	6584.29396064736	6587.79597048532	7432.69928708574	7304.11877718709	6738.41376091815	6513.38377138081	6326.08876790777	5914.23540657946	5578.42984214832	5911.89247573344	5759.97302434463	5834.15885218054	6029.00647824522	6167.3381753951	7016.99596362275
